asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,rr_ratio,power_setup,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
DOT,2024-06-27 13:00:00+00:00,6.181,-1.0,5.999154468069867,6.232926050036606,2500.0,2.0,0.8810657262802124,3.502,False,2024-07-02 17:00:00+00:00,2024-06-27 14:00:00+00:00,6.232926050036606,sl,-24.25228524373317,1
DOT,2024-07-03 10:00:00+00:00,6.17,-1.0,5.977975816121141,6.224832567369118,2487.8738573781334,2.0,0.9018634557723999,3.502,False,2024-07-08 14:00:00+00:00,2024-07-04 01:00:00+00:00,5.977975816121141,tp,74.9403185342887,1
FIL,2024-07-04 01:00:00+00:00,3.948,-1.0,3.770265077510699,3.998752264190784,4735.020031209896,3.0,0.9666946530342102,3.502,True,2024-07-09 05:00:00+00:00,2024-07-04 02:00:00+00:00,3.998752264190784,sl,-67.02507709746729,1
HBAR,2024-07-04 12:00:00+00:00,0.0681,-1.0,0.06510512740739394,0.06895518683052752,4672.1840214310205,3.0,0.9872372150421143,3.502,True,2024-07-09 16:00:00+00:00,2024-07-04 15:00:00+00:00,0.06895518683052752,sl,-64.74623636338107,1
FIL,2024-07-05 00:00:00+00:00,3.668,-1.0,3.4532695925432124,3.729316336803183,2459.4583599148536,2.0,0.9049396514892578,3.502,False,2024-07-10 04:00:00+00:00,2024-07-05 02:00:00+00:00,3.4532695925432124,tp,141.52104756907082,1
DOT,2024-07-05 02:00:00+00:00,5.034,-1.0,4.655040958216644,5.14221187607198,3795.3283255490837,3.0,0.9260047078132629,3.502,False,2024-07-10 06:00:00+00:00,2024-07-05 04:00:00+00:00,5.14221187607198,sl,-86.51906754963282,1
ICP,2024-07-06 09:00:00+00:00,7.163,-1.0,6.633341856119786,7.314244053068001,2797.829268665145,3.0,0.9205842018127441,3.502,False,2024-07-11 13:00:00+00:00,2024-07-06 16:00:00+00:00,7.314244053068001,sl,-62.71229160297082,1
DOT,2024-07-06 16:00:00+00:00,6.188,-1.0,5.904367948582602,6.268991223361724,2455.6032041230874,2.0,0.8770253658294678,3.502,False,2024-07-11 20:00:00+00:00,2024-07-06 18:00:00+00:00,6.268991223361724,sl,-35.33228216033413,1
HBAR,2024-07-06 18:00:00+00:00,0.0707,-1.0,0.06821406000483027,0.07140986096390194,4571.131993205476,3.0,0.9841036796569824,3.502,True,2024-07-11 22:00:00+00:00,2024-07-07 04:00:00+00:00,0.06821406000483027,tp,156.15814445813007,1
APT,2024-07-09 20:00:00+00:00,6.03,-1.0,5.836214126360784,6.0853356184458995,4717.530253634972,3.0,0.9920958876609802,3.502,True,2024-07-15 00:00:00+00:00,2024-07-10 04:00:00+00:00,6.0853356184458995,sl,-49.424241091272954,1
