asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd
TRX,2025-10-04 16:00:00+00:00,0.3399,-1.0,0.3356142857142857,0.34195714285714285,1250.0,1.0,0.85,2.08,2025-10-09 16:00:00+00:00,2025-10-05 04:00:00+00:00,0.34195714285714285,sl,-9.190250283696928
ADA,2025-10-04 16:00:00+00:00,0.838,1.0,0.8788928571428571,0.8183714285714285,1250.0,1.0,0.85,2.08,2025-10-09 16:00:00+00:00,2025-10-05 08:00:00+00:00,0.8788928571428571,tp,59.74769860211393
TRX,2025-10-05 04:00:00+00:00,0.3432,1.0,0.34777142857142856,0.3410057142857143,1247.7024374290759,1.0,0.85,2.08,2025-10-10 04:00:00+00:00,2025-10-05 16:00:00+00:00,0.3410057142857143,sl,-9.599331449922584
LINK,2025-10-04 16:00:00+00:00,22.0,1.0,23.105357142857144,21.469428571428573,1250.0,1.0,0.85,2.08,2025-10-09 16:00:00+00:00,2025-10-06 16:00:00+00:00,23.105357142857144,tp,61.55438311688321
AVAX,2025-10-04 16:00:00+00:00,30.04,1.0,31.825714285714284,29.18285714285714,1250.0,1.0,0.85,2.08,2025-10-09 16:00:00+00:00,2025-10-07 12:00:00+00:00,29.18285714285714,sl,-37.29173007418682
ADA,2025-10-08 04:00:00+00:00,0.8174,1.0,0.8620964285714287,0.7959457142857143,1266.3051924777978,1.0,0.85,2.08,2025-10-13 04:00:00+00:00,2025-10-10 12:00:00+00:00,0.7959457142857143,sl,-34.88289041415837
AVAX,2025-10-08 04:00:00+00:00,28.29,1.0,29.736428571428572,27.595714285714283,1266.3051924777978,1.0,0.85,2.08,2025-10-13 04:00:00+00:00,2025-10-10 12:00:00+00:00,27.595714285714283,sl,-32.723524606819176
TRX,2025-10-08 04:00:00+00:00,0.3373,1.0,0.3429964285714286,0.33456571428571424,1266.3051924777978,1.0,0.85,2.08,2025-10-13 04:00:00+00:00,2025-10-10 12:00:00+00:00,0.33456571428571424,sl,-11.911361878350112
LINK,2025-10-08 04:00:00+00:00,21.91,1.0,23.324285714285715,21.231142857142856,1266.3051924777978,1.0,0.85,2.08,2025-10-13 04:00:00+00:00,2025-10-10 16:00:00+00:00,21.231142857142856,sl,-40.88126406882649
ADA,2025-10-15 04:00:00+00:00,0.7024,1.0,0.7641857142857144,0.6727428571428572,1236.2054322357592,1.0,0.85,2.08,2025-10-20 04:00:00+00:00,2025-10-15 12:00:00+00:00,0.6727428571428572,sl,-53.802854511496335
AVAX,2025-10-15 04:00:00+00:00,22.98,1.0,25.085357142857145,21.969428571428573,1236.2054322357592,1.0,0.85,2.08,2025-10-20 04:00:00+00:00,2025-10-15 12:00:00+00:00,21.969428571428573,sl,-55.97059576783558
TRX,2025-10-15 04:00:00+00:00,0.3182,1.0,0.32698571428571427,0.3139828571428571,1236.2054322357592,1.0,0.85,2.08,2025-10-20 04:00:00+00:00,2025-10-15 12:00:00+00:00,0.3139828571428571,sl,-17.99064628413854
