fold,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,sharpe_ratio,win_rate_pct,profit_factor,total_trades,tp_hits,sl_hits,time_exits,signal_decay_exits,mss_invalidation_exits,avg_win_usd,avg_loss_usd,long_trades,short_trades,long_win_rate_pct,short_win_rate_pct,long_net_pnl_pct,short_net_pnl_pct,long_sharpe,hunter_efficiency,net_profit_usd
1,51.47,362.16,-9.69,37.374,3.47,38.78,2.29,49,8,16,8,0,17,240.52,-68.85,12,37,50.0,35.14,21.15,30.32,5.164,26555.895,2573.27
2,265.17,11753.93,-7.75,1516.729,6.595,45.36,4.82,97,26,38,8,0,25,380.18,-69.38,41,56,48.78,42.86,125.11,140.06,7.001,171079.914,13258.69
3,16.41,75.09,-16.14,4.652,1.343,31.25,1.23,96,19,44,3,0,30,148.66,-57.77,41,55,43.9,21.82,6.89,9.51,1.02,5082.71,820.35
4,381.03,32640.68,-18.91,1726.074,5.54,44.0,3.6,100,27,38,11,0,24,599.71,-143.84,29,71,37.93,46.48,124.14,256.9,5.69,100748.953,19051.63
5,419.67,43429.12,-9.78,4439.056,5.61,39.42,4.16,104,25,45,12,0,22,673.68,-118.53,35,69,31.43,43.48,36.64,383.02,3.054,214552.896,20983.27
