asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
UNI,2025-12-20 12:00:00+00:00,6.054,-1.0,5.231006755144987,6.254054608662713,4650.05162621105,2.0,0.8896413445472717,4.11,2025-12-25 16:00:00+00:00,2025-12-20 20:00:00+00:00,6.254054608662713,sl,-159.70616033228762,1
ICP,2025-12-20 14:00:00+00:00,3.022,-1.0,2.9334999999999996,3.0662499999999997,5412.8154166345,3.0,0.9431513547897339,2.0,2025-12-25 18:00:00+00:00,2025-12-20 20:00:00+00:00,3.0662499999999997,sl,-86.2944635446282,1
ICP,2025-12-20 21:00:00+00:00,3.255,-1.0,3.1015714285714284,3.3317142857142854,5274.440065703736,3.0,0.9396293759346008,2.0,2025-12-26 01:00:00+00:00,2025-12-20 22:00:00+00:00,3.3317142857142854,sl,-131.16549779456116,1
ICP,2025-12-20 22:00:00+00:00,3.442,-1.0,3.241,3.5425,5200.659473194294,3.0,0.9824686050415039,2.0,2025-12-26 02:00:00+00:00,2025-12-21 02:00:00+00:00,3.241,tp,298.4985137145028,1
FIL,2025-12-20 23:00:00+00:00,1.374,-1.0,1.324679295701891,1.385988961342041,6934.2126309257255,3.0,0.9440257549285889,4.11,2025-12-26 03:00:00+00:00,2025-12-21 02:00:00+00:00,1.324679295701891,tp,241.9742667796285,1
POL,2025-12-20 07:00:00+00:00,0.111,-1.0,0.10788371669360207,0.1117575114877807,4687.628660584143,2.0,0.8932609558105469,4.11,2025-12-25 11:00:00+00:00,2025-12-21 13:00:00+00:00,0.10788371669360207,tp,126.91578522744167,1
POL,2025-12-21 13:00:00+00:00,0.1059,-1.0,0.10278371669360208,0.10665751148778069,4956.502703477938,2.0,0.8719509243965149,4.11,2025-12-26 17:00:00+00:00,2025-12-21 14:00:00+00:00,0.10665751148778069,sl,-41.89772865239291,1
DOT,2025-12-21 13:00:00+00:00,1.755,-1.0,1.6934104637869383,1.769971290034091,4956.502703477938,2.0,0.8921067118644714,4.11,2025-12-26 17:00:00+00:00,2025-12-21 16:00:00+00:00,1.769971290034091,sl,-48.725641280062355,1
ATOM,2025-12-21 13:00:00+00:00,1.91,-1.0,1.856507892850807,1.9230029530973378,4956.502703477938,2.0,0.8731326460838318,4.11,2025-12-26 17:00:00+00:00,2025-12-21 16:00:00+00:00,1.9230029530973378,sl,-40.1864755983706,1
APT,2025-12-21 13:00:00+00:00,1.56,-1.0,1.491049164637967,1.576760687249321,2478.251351738969,1.0,0.830854594707489,4.11,2025-12-26 17:00:00+00:00,2025-12-21 16:00:00+00:00,1.576760687249321,sl,-29.84813434168605,1
TRX,2025-12-21 16:00:00+00:00,0.2883,-1.0,0.2832697789148695,0.2895227547637405,7314.260570312524,3.0,0.9209926128387451,4.11,2025-12-26 20:00:00+00:00,2025-12-22 12:00:00+00:00,0.2832697789148695,tp,120.30401117066843,1
FIL,2025-12-25 22:00:00+00:00,1.228,-1.0,1.16861885353163,1.2424344708695219,7404.488578690525,3.0,0.9315634965896606,4.11,2025-12-31 02:00:00+00:00,2025-12-26 02:00:00+00:00,1.2424344708695219,sl,-96.66156372950927,1
POL,2025-12-25 22:00:00+00:00,0.1039,-1.0,0.10107816865956094,0.1045859355991715,7404.488578690525,3.0,0.9312797784805298,4.11,2025-12-31 02:00:00+00:00,2025-12-26 02:00:00+00:00,0.1045859355991715,sl,-58.509399250300866,1
APT,2025-12-27 11:00:00+00:00,1.732,-1.0,1.678753269489106,1.744943306523497,4858.740237637112,2.0,0.8796311616897583,4.11,2026-01-01 15:00:00+00:00,2025-12-27 14:00:00+00:00,1.744943306523497,sl,-42.625925942753646,1
DOT,2025-12-27 15:00:00+00:00,1.802,-1.0,1.7485078928508073,1.815002953097338,4837.427274665735,2.0,0.8591627478599548,4.11,2026-01-01 19:00:00+00:00,2025-12-27 17:00:00+00:00,1.815002953097338,sl,-41.19478196331499,1
ATOM,2025-12-26 02:00:00+00:00,2.038,-1.0,1.9690491646379669,2.054760687249321,4858.740237637112,2.0,0.888775110244751,4.11,2025-12-31 06:00:00+00:00,2025-12-27 18:00:00+00:00,2.054760687249321,sl,-46.275059830384485,1
FIL,2025-12-27 22:00:00+00:00,1.31,-1.0,1.2574893994040033,1.322764366801974,7190.538530653328,3.0,0.9790835976600647,4.11,2026-01-02 02:00:00+00:00,2025-12-28 03:00:00+00:00,1.322764366801974,sl,-79.41080795930394,1
DOT,2025-12-27 23:00:00+00:00,1.91,-1.0,1.8192106438293516,1.9320692323211697,4793.692353768885,2.0,0.8609997034072876,4.11,2026-01-02 03:00:00+00:00,2025-12-29 12:00:00+00:00,1.8192106438293516,tp,223.06821470321376,1
