fold,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,sharpe_ratio,win_rate_pct,profit_factor,total_trades,tp_hits,sl_hits,time_exits,signal_decay_exits,mss_invalidation_exits,avg_win_usd,avg_loss_usd,long_trades,short_trades,long_win_rate_pct,short_win_rate_pct,long_net_pnl_pct,short_net_pnl_pct,long_sharpe,hunter_efficiency,net_profit_usd
1,64.35,524.44,-12.14,43.194,3.496,36.92,1.84,65,17,26,5,0,17,294.11,-103.82,31,34,45.16,29.41,48.61,15.74,4.495,26502.304,3217.38
2,272.6,12666.7,-8.76,1446.352,6.418,39.25,3.88,107,31,49,6,0,21,437.36,-84.63,55,52,40.0,38.46,141.38,131.22,5.727,155591.135,13629.78
3,50.68,353.35,-9.02,39.176,2.982,34.91,1.59,106,32,50,2,0,22,185.28,-72.02,61,45,42.62,24.44,31.61,19.06,3.016,28091.381,2533.84
4,276.9,13219.01,-21.34,619.579,4.888,40.37,2.9,109,30,49,10,0,20,480.42,-137.61,44,65,34.09,44.62,31.87,245.03,2.814,64878.269,13845.02
5,277.53,13300.81,-14.46,920.056,5.186,40.68,3.43,118,32,46,10,0,30,407.83,-101.78,50,68,44.0,38.24,41.85,235.67,3.265,95963.661,13876.35
